IP,NAMESERVER,Query time,Msg size,Actual Frequency [%],Max msg size,min msg size,avg msg size
14.215.155.170,f1g1ns1.dnspod.net,160msec,229,0.720502310979455,,,
14.215.150.17,f1g1ns1.dnspod.net,206msec,229,0.7205895177467,,,
111.161.57.77,f1g1ns1.dnspod.net,314msec,229,0.720676724513946,,,
14.215.155.203,f1g1ns2.dnspod.net,145msec,229,0.720763931281191,,,
58.247.212.48,f1g1ns2.dnspod.net,343msec,229,0.720851138048436,,,
58.247.212.119,f1g1ns2.dnspod.net,323msec,229,0.720938344815681,,,
111.161.57.81,f1g1ns2.dnspod.net,217msec,229,0.721025551582926,,,
14.215.155.156,f1g1ns1.dnspod.net,169msec,229,0.721112758350171,,,
14.215.155.170,f1g1ns1.dnspod.net,147msec,229,0.721199965117417,,,
14.215.150.17,f1g1ns1.dnspod.net,241msec,229,0.721287171884662,,,
111.161.57.77,f1g1ns1.dnspod.net,307msec,229,0.721374378651907,,,
111.161.57.81,f1g1ns2.dnspod.net,199msec,229,0.721461585419152,,,
14.215.155.203,f1g1ns2.dnspod.net,186msec,229,0.721548792186397,,,
58.247.212.48,f1g1ns2.dnspod.net,324msec,229,0.721635998953642,,,
58.247.212.119,f1g1ns2.dnspod.net,368msec,229,0.721723205720888,,,
111.161.57.77,f1g1ns1.dnspod.net,300msec,229,0.721810412488133,,,
14.215.155.156,f1g1ns1.dnspod.net,144msec,229,0.721897619255378,,,
14.215.155.170,f1g1ns1.dnspod.net,222msec,229,0.721984826022623,,,
14.215.150.17,f1g1ns1.dnspod.net,190msec,229,0.722072032789868,,,
14.215.155.203,f1g1ns2.dnspod.net,150msec,229,0.722159239557113,,,
58.247.212.48,f1g1ns2.dnspod.net,335msec,229,0.722246446324359,,,
58.247.212.119,f1g1ns2.dnspod.net,323msec,229,0.722333653091604,,,
111.161.57.81,f1g1ns2.dnspod.net,288msec,229,0.722420859858849,,,
14.215.155.156,f1g1ns1.dnspod.net,253msec,229,0.722508066626094,,,
14.215.155.170,f1g1ns1.dnspod.net,214msec,229,0.722595273393339,,,
14.215.150.17,f1g1ns1.dnspod.net,216msec,229,0.722682480160584,,,
111.161.57.77,f1g1ns1.dnspod.net,290msec,229,0.722769686927829,,,
111.161.57.77,f1g1ns1.dnspod.net,255msec,229,0.722856893695075,,,
14.215.155.156,f1g1ns1.dnspod.net,246msec,229,0.72294410046232,,,
14.215.155.170,f1g1ns1.dnspod.net,225msec,229,0.723031307229565,,,
14.215.150.17,f1g1ns1.dnspod.net,225msec,229,0.72311851399681,,,
111.161.57.81,f1g1ns2.dnspod.net,240msec,229,0.723205720764055,,,
14.215.155.203,f1g1ns2.dnspod.net,238msec,229,0.723292927531301,,,
58.247.212.48,f1g1ns2.dnspod.net,324msec,229,0.723380134298546,,,
58.247.212.119,f1g1ns2.dnspod.net,340msec,229,0.723467341065791,,,
14.215.155.156,f1g1ns1.dnspod.net,152msec,229,0.723554547833036,,,
14.215.155.170,f1g1ns1.dnspod.net,219msec,229,0.723641754600281,,,
14.215.150.17,f1g1ns1.dnspod.net,250msec,229,0.723728961367526,,,
111.161.57.77,f1g1ns1.dnspod.net,306msec,229,0.723816168134771,,,
14.215.155.203,f1g1ns2.dnspod.net,219msec,229,0.723903374902017,,,
58.247.212.48,f1g1ns2.dnspod.net,338msec,229,0.723990581669262,,,
58.247.212.119,f1g1ns2.dnspod.net,231msec,229,0.724077788436507,,,
111.161.57.81,f1g1ns2.dnspod.net,304msec,229,0.724164995203752,,,
14.215.155.156,f1g1ns1.dnspod.net,159msec,229,0.724252201970997,,,
14.215.155.170,f1g1ns1.dnspod.net,220msec,229,0.724339408738242,,,
14.215.150.17,f1g1ns1.dnspod.net,232msec,229,0.724426615505488,,,
111.161.57.77,f1g1ns1.dnspod.net,300msec,229,0.724513822272733,,,
14.215.155.203,f1g1ns2.dnspod.net,246msec,229,0.724601029039978,,,
58.247.212.48,f1g1ns2.dnspod.net,338msec,229,0.724688235807223,,,
58.247.212.119,f1g1ns2.dnspod.net,247msec,229,0.724775442574468,,,
111.161.57.81,f1g1ns2.dnspod.net,267msec,229,0.724862649341713,,,
111.161.57.77,f1g1ns1.dnspod.net,400msec,229,0.724949856108959,,,
14.215.155.156,f1g1ns1.dnspod.net,233msec,229,0.725037062876204,,,
14.215.155.170,f1g1ns1.dnspod.net,236msec,229,0.725124269643449,,,
14.215.150.17,f1g1ns1.dnspod.net,148msec,229,0.725211476410694,,,
111.161.57.81,f1g1ns2.dnspod.net,228msec,229,0.725298683177939,,,
14.215.155.203,f1g1ns2.dnspod.net,243msec,229,0.725385889945184,,,
58.247.212.48,f1g1ns2.dnspod.net,322msec,229,0.72547309671243,,,
58.247.212.119,f1g1ns2.dnspod.net,247msec,229,0.725560303479675,,,
14.215.155.203,f1g1ns2.dnspod.net,254msec,229,0.72564751024692,,,
58.247.212.48,f1g1ns2.dnspod.net,344msec,229,0.725734717014165,,,
58.247.212.119,f1g1ns2.dnspod.net,333msec,229,0.72582192378141,,,
111.161.57.81,f1g1ns2.dnspod.net,217msec,229,0.725909130548655,,,
14.215.155.156,f1g1ns1.dnspod.net,211msec,229,0.725996337315901,,,
14.215.155.170,f1g1ns1.dnspod.net,168msec,229,0.726083544083146,,,
14.215.150.17,f1g1ns1.dnspod.net,93msec,229,0.726170750850391,,,
111.161.57.77,f1g1ns1.dnspod.net,228msec,229,0.726257957617636,,,
14.215.155.203,f1g1ns2.dnspod.net,95msec,229,0.726345164384881,,,
58.247.212.48,f1g1ns2.dnspod.net,230msec,229,0.726432371152126,,,
58.247.212.119,f1g1ns2.dnspod.net,224msec,229,0.726519577919371,,,
111.161.57.81,f1g1ns2.dnspod.net,257msec,229,0.726606784686617,,,
14.215.155.156,f1g1ns1.dnspod.net,184msec,229,0.726693991453862,,,
14.215.155.170,f1g1ns1.dnspod.net,221msec,229,0.726781198221107,,,
14.215.150.17,f1g1ns1.dnspod.net,227msec,229,0.726868404988352,,,
111.161.57.77,f1g1ns1.dnspod.net,241msec,229,0.726955611755597,,,
14.215.155.156,f1g1ns1.dnspod.net,93msec,229,0.727042818522842,,,
14.215.155.170,f1g1ns1.dnspod.net,271msec,229,0.727130025290088,,,
14.215.150.17,f1g1ns1.dnspod.net,192msec,229,0.727217232057333,,,
111.161.57.77,f1g1ns1.dnspod.net,277msec,229,0.727304438824578,,,
14.215.155.203,f1g1ns2.dnspod.net,159msec,229,0.727391645591823,,,
58.247.212.48,f1g1ns2.dnspod.net,230msec,229,0.727478852359068,,,
58.247.212.119,f1g1ns2.dnspod.net,271msec,229,0.727566059126313,,,
111.161.57.81,f1g1ns2.dnspod.net,281msec,229,0.727653265893559,,,
111.161.57.77,f1g1ns1.dnspod.net,255msec,229,0.727740472660804,,,
14.215.155.156,f1g1ns1.dnspod.net,248msec,229,0.727827679428049,,,
14.215.155.170,f1g1ns1.dnspod.net,94msec,229,0.727914886195294,,,
14.215.150.17,f1g1ns1.dnspod.net,95msec,229,0.728002092962539,,,
111.161.57.81,f1g1ns2.dnspod.net,338msec,229,0.728089299729784,,,
14.215.155.203,f1g1ns2.dnspod.net,98msec,229,0.72817650649703,,,
58.247.212.48,f1g1ns2.dnspod.net,237msec,229,0.728263713264275,,,
58.247.212.119,f1g1ns2.dnspod.net,230msec,229,0.72835092003152,,,
14.215.155.156,f1g1ns1.dnspod.net,164msec,229,0.728438126798765,,,
14.215.155.170,f1g1ns1.dnspod.net,99msec,229,0.72852533356601,,,
14.215.150.17,f1g1ns1.dnspod.net,93msec,229,0.728612540333255,,,
111.161.57.77,f1g1ns1.dnspod.net,260msec,229,0.728699747100501,,,
14.215.155.203,f1g1ns2.dnspod.net,96msec,229,0.728786953867746,,,
58.247.212.48,f1g1ns2.dnspod.net,243msec,229,0.728874160634991,,,
58.247.212.119,f1g1ns2.dnspod.net,268msec,229,0.728961367402236,,,
111.161.57.81,f1g1ns2.dnspod.net,266msec,229,0.729048574169481,,,
111.161.57.81,f1g1ns2.dnspod.net,247msec,229,0.729135780936726,,,
14.215.155.203,f1g1ns2.dnspod.net,92msec,229,0.729222987703972,,,
58.247.212.48,f1g1ns2.dnspod.net,274msec,229,0.729310194471217,,,
58.247.212.119,f1g1ns2.dnspod.net,233msec,229,0.729397401238462,,,
111.161.57.77,f1g1ns1.dnspod.net,226msec,229,0.729484608005707,,,
14.215.155.170,f1g1ns1.dnspod.net,98msec,229,0.729571814772952,,,
14.215.150.17,f1g1ns1.dnspod.net,93msec,229,0.729659021540197,,,
14.215.155.156,f1g1ns1.dnspod.net,252msec,229,0.729746228307443,,,
14.215.155.170,f1g1ns1.dnspod.net,209msec,229,0.729833435074688,,,
14.215.150.17,f1g1ns1.dnspod.net,95msec,229,0.729920641841933,,,
111.161.57.77,f1g1ns1.dnspod.net,234msec,229,0.730007848609178,,,
14.215.155.203,f1g1ns2.dnspod.net,221msec,229,0.730095055376423,,,
58.247.212.48,f1g1ns2.dnspod.net,236msec,229,0.730182262143668,,,
58.247.212.119,f1g1ns2.dnspod.net,322msec,229,0.730269468910914,,,
111.161.57.81,f1g1ns2.dnspod.net,243msec,229,0.730356675678159,,,
14.215.155.203,f1g1ns2.dnspod.net,255msec,229,0.730443882445404,,,
58.247.212.48,f1g1ns2.dnspod.net,254msec,229,0.730531089212649,,,
58.247.212.119,f1g1ns2.dnspod.net,240msec,229,0.730618295979894,,,
111.161.57.81,f1g1ns2.dnspod.net,289msec,229,0.730705502747139,,,
14.215.155.156,f1g1ns1.dnspod.net,98msec,229,0.730792709514384,,,
14.215.155.170,f1g1ns1.dnspod.net,169msec,229,0.73087991628163,,,
14.215.150.17,f1g1ns1.dnspod.net,94msec,229,0.730967123048875,,,
111.161.57.77,f1g1ns1.dnspod.net,266msec,229,0.73105432981612,,,
14.215.155.203,f1g1ns2.dnspod.net,96msec,229,0.731141536583365,,,
58.247.212.48,f1g1ns2.dnspod.net,277msec,229,0.73122874335061,,,
